Bigrams,Polarity,PosNeg
 long  struggle,-1,0.0557
 serious  mistake,-1,0.0557
 unimaginable  pain,-1,0.0557
 unprecedented  chaos,-1,0.0557
 alarming  boycott,-1,0.0579
 deep  fault,-1,0.0579
 enormous  challenge,-1,0.0579
 national  recession,-1,0.0579
 palestinian  terrorists,-1,0.0579
 serious  danger,-1,0.0579
 terrorist  attacks,-1,0.0579
 terrorist  bombs,-1,0.0579
 terrorist  near,-1,0.0579
 terrorist  organization,-1,0.0579
 terrorist  stabbings,-1,0.0579
 underserved  neighborhoods,-1,0.0579
 white  supremacists,-1,0.0579
 widespread  inequality,-1,0.0579
 urgent  threat,-1,0.0602
 aggressive  response,-1,0.1088
 brutal  terrorist,-1,0.1088
 continued  aggression,-1,0.1088
 crippling  sanctions,-1,0.1088
 enormous  pressure,-1,0.1088
 excessive  incarceration,-1,0.1088
 fateful  day,-1,0.1088
" insidious  ""birther",-1,0.1088
 little  money,-1,0.1088
 national  emergency,-1,0.1088
 national  infrastructure,1,0.1088
 outrageous  that,-1,0.1088
 outrageously  high,-1,0.1088
 partisan  attacks,-1,0.1088
 petty  crimes,-1,0.1088
 racial  inequality,-1,0.1088
 racial  profiling,-1,0.1088
 radical  jihadists,-1,0.1088
 raucous  debate,-1,0.1088
 run-down  public,-1,0.1088
 same  offenses,-1,0.1088
 serious  response,1,0.1088
 stubbornly  high,-1,0.1088
 ugly  currents,-1,0.1088
 unaccountable  money,-1,0.1088
 behavioral  problems,-1,0.1174
 black  children,1,0.1174
 black  communities,1,0.1174
 black  entrepreneurs,1,0.1174
 black  families,1,0.1174
 black  kids,1,0.1174
 black  men,1,0.1174
 black  parents,1,0.1174
 black  teenagers,1,0.1174
 black  woman,1,0.1174
 black  women,1,0.1174
 congested  transportation,-1,0.1174
 costly  ground,-1,0.1174
 damaging  actions,-1,0.1174
 dangerously  wrong,-1,0.1174
 dark  chapters,-1,0.1174
 difficult  chapters,-1,0.1174
 existential  danger,-1,0.1174
 extremist  regime,-1,0.1174
 illegal  arms,-1,0.1174
 illicit  behaviors,-1,0.1174
 interlocking  challenges,-1,0.1174
 iranian  provocations,-1,0.1174
 iranian  revolutionary,-1,0.1174
 less  secure,-1,0.1174
 longer  prison,-1,0.1174
 low-income  neighborhoods,1,0.1174
 many  barriers,1,0.1174
 many  setbacks,-1,0.1174
 murky  water,-1,0.1174
 not  easier,-1,0.1174
 not  enough,-1,0.1174
 not  good,-1,0.1174
 outside  parties,-1,0.1174
 overcrowded  schools,-1,0.1174
 polluted  air,-1,0.1174
 poor  families,-1,0.1174
 poor  people,-1,0.1174
 poor  rural,-1,0.1174
 public  threat,-1,0.1174
 real  consequences,-1,0.1174
 systemic  racism,-1,0.1174
 toxic  site,-1,0.1174
 toxic  water,-1,0.1174
 unhealthy  water,-1,0.1174
 awfully  ambitious,-1,0.9268
 economic  inequality,-1,0.9268
 harmful  lead,-1,0.9268
 additional  sanctions,1,2.3151
 african  americans,1,2.3151
 african-american  communities,1,2.3151
 african-american  homeownership,1,2.3151
 american  labor,1,2.3151
 american  leadership,1,2.3151
 american  muslims,1,2.3151
 american  troops,1,2.3151
 big  difference,1,2.3151
 broader  strategy,1,2.3151
 civilized  society,1,2.3151
 clean  air,1,2.3151
 common  adversaries,1,2.3151
 common  ground,1,2.3151
 consequential  presidential,1,2.3151
 debt-free  tuition,1,2.3151
 direct  negotiations,1,2.3151
 enough  jobs,1,2.3151
 everyday  life,1,2.3151
 everyday  people,1,2.3151
 federal  funding,1,2.3151
 global  coalition,1,2.3151
 good-paying  jobs,1,2.3151
 greater  emphasis,1,2.3151
 green  roofs,1,2.3151
 high-value  manufacturing,1,2.3151
 highest  priorities,1,2.3151
 international  community,1,2.3151
 international  observers,1,2.3151
 jewish  people,1,2.3151
 latino  children,1,2.3151
 latino  families,1,2.3151
 latino  men,1,2.3151
 legal  clinic,1,2.3151
 local  forces,1,2.3151
 local  leaders,1,2.3151
 local  level,1,2.3151
 low-income  housing,1,2.3151
 main  street,1,2.3151
 major  legislation,1,2.3151
 mexican  immigrants,1,2.3151
 middle-class  life,1,2.3151
 military  edge,1,2.3151
 more  determined,1,2.3151
 more  funding,1,2.3151
 more  infrastructure,1,2.3151
 more  infrastructure,1,2.3151
 more  jobs,1,2.3151
 more  opportunities,1,2.3151
 more  sanctions,1,2.3151
 more  strategic,1,2.3151
 more  technology,1,2.3151
 most  consequential,1,2.3151
 much-needed  rail,1,2.3151
 muslim  americans,1,2.3151
 national  effort,1,2.3151
 national  goal,1,2.3151
 national  interest,1,2.3151
 national  priority,1,2.3151
 new  jobs,1,2.3151
 new  systems,1,2.3151
 next  generation,1,2.3151
 nuclear  weapons,1,2.3151
 our  common,1,2.3151
 our  highest,1,2.3151
 predominantly  african-american,1,2.3151
 prepaid  healthcare,1,2.3151
 public  health,1,2.3151
 public  housing,1,2.3151
 public  schools,1,2.3151
 renewable  energy,1,2.3151
 reproductive  health,1,2.3151
 small  businesses,1,2.3151
 strategic  investments,1,2.3151
 terror-hating  muslim,1,2.3151
 toughest  sanctions,1,2.3151
 unified  party,1,2.3151
 unseen  barriers,-1,2.3151
 working-class  families,1,2.3151
 advanced  computing,1,19.7155
 advanced  manufacturing,1,19.7155
 affordable  health,1,19.7155
 affordable  housing,1,19.7155
 affordable  places,1,19.7155
 american  values,1,19.7155
 bright  future,1,19.7155
 capable  partner,1,19.7155
 clean  energy,1,19.7155
 clean  transportation,1,19.7155
 clean  water,1,19.7155
 clear  consequences,1,19.7155
 clear  message,1,19.7155
 common  sense,1,19.7155
 comprehensive  agenda,1,19.7155
 comprehensive  approach,1,19.7155
 comprehensive  immigration,1,19.7155
 constructive  meetings,1,19.7155
 decent  society,1,19.7155
 diplomatic  architecture,1,19.7155
 economic  impact,1,19.7155
 economic  opportunities,1,19.7155
 economic  recovery,1,19.7155
 end-to-end  reform,1,19.7155
 entrepreneurial  force,1,19.7155
 environmental  justice,1,19.7155
 equal  pay,1,19.7155
 face-to-face  peace,1,19.7155
 free  tuition,1,19.7155
 general  responsibility,1,19.7155
 global  peace,1,19.7155
 good  jobs,1,19.7155
 good  life,1,19.7155
 good  partner,1,19.7155
 good  school,1,19.7155
 good  teacher,1,19.7155
 good  union,1,19.7155
 greater  cooperation,1,19.7155
 hard  work,1,19.7155
 hardworking  immigrants,1,19.7155
 healthy  place,1,19.7155
 human  rights,1,19.7155
 important  cause,1,19.7155
 important  role,1,19.7155
 intense  security,1,19.7155
 international  order,1,19.7155
 legal  defense,1,19.7155
 long-term  survival,1,19.7155
 median  wealth,1,19.7155
 middle  class,1,19.7155
 more  innovation,1,19.7155
 more  openness,1,19.7155
 more  peaceful,1,19.7155
 more  secure,1,19.7155
 more  self-sufficient,1,19.7155
 more  stable,1,19.7155
 most  important,1,19.7155
 most  prominent,1,19.7155
 natural  treasures,1,19.7155
 new  breakthroughs,1,19.7155
 on-the-ground  security,1,19.7155
 positive  actions,1,19.7155
 positive  change,1,19.7155
 progressive  goals,1,19.7155
 safe  return,1,19.7155
 secure  homeland,1,19.7155
 secure  middle,1,19.7155
 secure  retirement,1,19.7155
 skilled  labor,1,19.7155
 social  justice,1,19.7155
 social  security,1,19.7155
 special  immunity,1,19.7155
 special  obligation,1,19.7155
 special  police,1,19.7155
 strong  enough,1,19.7155
 strong  foundation,1,19.7155
 strong  voice,1,19.7155
 unshakable  commitment,1,19.7155
 vigorous  enforcement,1,19.7155
 white  americans,1,19.7155
 attractive  place,1,21.2715
 beautiful  places,1,21.2715
 best  days,1,21.2715
 best  efforts,1,21.2715
 best  ideas,1,21.2715
 better  future,1,21.2715
 better  healthcare,1,21.2715
 better  job,1,21.2715
 better  tunnel,1,21.2715
 bold  steps,1,21.2715
 compassionate  country,1,21.2715
 exciting  campaign,1,21.2715
 extraordinary  women,1,21.2715
 great  country,1,21.2715
 great  jobs,1,21.2715
 great  leaders,1,21.2715
 highest  hopes,1,21.2715
 increasingly  sophisticated,1,21.2715
 jewish  state,1,21.2715
 momentous  choices,1,21.2715
 moral  foundations,1,21.2715
 more  indispensable,1,21.2715
 more  vibrant,1,21.2715
 most  beautiful,1,21.2715
 most  sophisticated,1,21.2715
 our  best,1,21.2715
 particularly  exciting,1,21.2715
 quiet  determination,1,21.2715
 remarkable  leader,1,21.2715
 smart  growth,1,21.2715
 sophisticated  rockets,1,21.2715
 stirring  statement,1,21.2715
 sure  women,1,21.2715
 thoughtful  republican,1,21.2715
 tremendous  leadership,1,21.2715
 unselfish  country,1,21.2715
 very  best,1,21.2715
 vibrant  culture,1,21.2715
 affordable  care,1,37.1158
 civil  rights,1,37.1158
 democratic  values,1,37.1158
 diplomatic  cooperation,1,37.1158
 progressive  tradition,1,37.1158
 special  responsibility,1,37.1158
 extraordinary  commitment,1,38.6719
 great  friend,1,38.6719
 great  help,1,38.6719
 great  honor,1,38.6719
 personal  commitment,1,38.6719
 remarkable  progress,1,38.6719
 sophisticated  defense,1,38.6719
 steady  hands,1,38.6719
 courageous  work,1,40.2279
 extraordinary  privilege,1,40.2279
 great  privilege,1,40.2279
