"","Words","Frequency"
"1","people",52
"2","going",39
"3","america",39
"4","know",38
"5","israel",35
"6","work",35
"7","want",30
"8","president",29
"9","together",29
"10","jobs",26
"11","children",23
"12","think",22
"13","good",22
"14","country",21
"15","future",20
"16","keep",19
"17","security",19
"18","united",19
"19","need",19
"20","black",19
"21","york",18
"22","years",18
"23","worked",18
"24","states",18
"25","americans",18
"26","white",17
"27","families",17
"28","help",17
"29","rights",17
"30","american",16
"31","national",16
"32","young",15
"33","time",15
"34","live",15
"35","let",15
"36","justice",15
"37","much",14
"38","strong",14
"39","israel.s",14
"40","right",14
"41","women",14
"42","build",13
"43","great",13
"44","face",13
"45","across",13
"46","enough",13
"47","gun",13
"48","friends",12
"49","lives",12
"50","everyone",12
"51","problems",12
"52","pay",12
"53","always",11
"54","iran",11
"55","next.",11
"56","world",11
"57","peace",11
"58","today",11
"59","look",11
"60","part",11
"61","woman",11
"62","lot",10
"63","working",10
"64","middle",10
"65","believe",10
"66","israeli",10
"67","stand",10
"68","continue",10
"69","campaign",10
"70","day",10
"71","child",10
"72","commitment",9
"73","important",9
"74","defense",9
"75","leaders",9
"76","wrong",9
"77","violence",9
"78","israelis",9
"79","defend",9
"80","year",9
"81","men",9
"82","left",9
"83","come",9
"84","hard",9
"85","create",9
"86","county",9
"87","democrats",9
"88","island",9
"89","ve",9
"90","police",9
"91","support",8
"92","election",8
"93","anyone",8
"94","values",8
"95","efforts",8
"96","better",8
"97","places",8
"98","neighborhoods",8
"99","actually",8
"100","best",8
