"","Words","Frequency"
"1","act",10
"2","administration",8
"3","almost",10
"4","america",27
"5","american",24
"6","americans",29
"7","bank",15
"8","banking",14
"9","banks",30
"10","believe",20
"11","big",29
"12","billion",17
"13","business",9
"14","campaign",20
"15","change",13
"16","class",20
"17","clear",9
"18","congress",16
"19","corporate",8
"20","country",48
"21","create",13
"22","credit",13
"23","democratic",15
"24","economic",16
"25","economy",25
"26","end",11
"27","fail",9
"28","families",18
"29","federal",12
"30","fight",14
"31","financial",32
"32","fraud",8
"33","free",12
"34","going",10
"35","government",12
"36","greed",11
"37","health",9
"38","history",9
"39","huge",8
"40","illegal",10
"41","income",9
"42","institutions",9
"43","insurance",8
"44","interest",13
"45","interests",8
"46","isis",16
"47","jail",9
"48","jobs",15
"49","justice",10
"50","know",8
"51","largest",8
"52","last",9
"53","let",16
"54","life",8
"55","longer",10
"56","major",12
"57","means",19
"58","middle",14
"59","millions",27
"60","money",15
"61","much",11
"62","nation",16
"63","nations",12
"64","nearly",8
"65","need",22
"66","pay",11
"67","paying",11
"68","people",56
"69","percent",28
"70","political",23
"71","power",12
"72","president",29
"73","reality",9
"74","region",10
"75","right",18
"76","road",9
"77","roosevelt",10
"78","saw",9
"79","small",8
"80","socialism",12
"81","states",17
"82","street",64
"83","support",11
"84","system",26
"85","tell",9
"86","time",18
"87","today",37
"88","top",11
"89","u.s",11
"90","united",19
"91","vote",17
"92","wall",65
"93","wealth",19
"94","wealthiest",9
"95","work",18
"96","working",17
"97","world",19
"98","year",11
"99","years",15
"100","yes",9
