"","Words","Frequency"
"1","actually",7
"2","america",10
"3","anybody",6
"4","anything",9
"5","bad",10
"6","believe",25
"7","better",8
"8","big",19
"9","billion",18
"10","border",7
"11","bring",14
"12","build",11
"13","building",11
"14","china",22
"15","come",17
"16","country",27
"17","day",13
"18","deal",28
"19","disaster",9
"20","dollars",8
"21","east",7
"22","end",8
"23","equipment",7
"24","everybody",11
"25","family",7
"26","ford",12
"27","friend",9
"28","give",7
"29","going",52
"30","gonna",10
"31","good",20
"32","great",43
"33","happen",22
"34","interest",7
"35","iran",23
"36","iraq",12
"37","israel",43
"38","jewish",7
"39","job",9
"40","jobs",14
"41","know",55
"42","last",8
"43","leaders",8
"44","let",9
"45","look",9
"46","lot",8
"47","love",15
"48","making",9
"49","mexico",13
"50","middle",8
"51","military",15
"52","money",14
"53","much",14
"54","need",25
"55","nice",13
"56","nobody",10
"57","nothing",8
"58","nuclear",6
"59","number",14
"60","obama",8
"61","palestinian",7
"62","people",62
"63","percent",6
"64","person",9
"65","place",8
"66","politicians",7
"67","president",23
"68","problem",14
"69","problems",7
"70","really",21
"71","right",22
"72","run",7
"73","running",10
"74","send",9
"75","somebody",10
"76","something",10
"77","state",11
"78","states",16
"79","stop",8
"80","tell",12
"81","terrible",6
"82","terror",9
"83","thank",19
"84","thing",7
"85","things",11
"86","think",16
"87","thousands",8
"88","time",15
"89","trade",8
"90","trillion",9
"91","trump",41
"92","united",21
"93","want",18
"94","wanted",8
"95","weapons",6
"96","work",9
"97","world",20
"98","worth",7
"99","years",12
"100","zero",7
