Bigrams,Polarity,PosNeg
islamic fundamentalists,-1,0.0557
islamic jihad,-1,0.0557
islamic terrorists,-1,0.0557
islamic violence,-1,0.0557
japanese imperialists,-1,0.0557
knife-wielding palestinian,-1,0.0557
long struggle,-1,0.0557
muslim brotherhood,-1,0.0557
muslim world,-1,0.0557
palestinian terrorism,-1,0.0557
palestinian terrorist,-1,0.0557
radical islam,-1,0.0557
radical islamic,-1,0.0557
utter weakness,-1,0.0557
vicious murderers,-1,0.0557
vicious people,-1,0.0557
rampant incitement,-1,0.0579
serious trouble,-1,0.0579
terrorist home,-1,0.0579
total disaster,-1,0.0579
total lie,-1,0.0579
worst attack,-1,0.0579
worst crisis,-1,0.0579
negative force,-1,0.0602
open borders,-1,0.0602
political hack,-1,0.0602
aggressive push,-1,0.1088
aimless foreign,-1,0.1088
bad for,-1,0.1088
bad iran,-1,0.1088
bad negotiator,-1,0.1088
bad news,-1,0.1088
bad ones,-1,0.1088
bad thing,-1,0.1088
big lie,-1,0.1088
biggest concern,-1,0.1088
catastrophic for,-1,0.1088
complete disaster,-1,0.1088
deplorable situation,-1,0.1088
disastrous airports,-1,0.1088
economic assault,-1,0.1088
far worse,-1,0.1088
global terror,-1,0.1088
higher pay,1,0.1088
horrible acts,-1,0.1088
horrible labor,-1,0.1088
how bad,-1,0.1088
how stupid,-1,0.1088
humanitarian nation,1,0.1088
intense persecution,-1,0.1088
less sense,-1,0.1088
many horrible,-1,0.1088
massive debt,-1,0.1088
massive increase,-1,0.1088
morally corrupt,-1,0.1088
no-good traitor,-1,0.1088
not radical,-1,0.1088
old-fashioned way,-1,0.1088
our worst,-1,0.1088
philosophical struggle,-1,0.1088
radical change,-1,0.1088
really shocking,-1,0.1088
religious fanaticism,-1,0.1088
second-class citizen,-1,0.1088
senseless immigration,-1,0.1088
serious differences,-1,0.1088
skeptical of,-1,0.1088
so bloated,-1,0.1088
so preposterous,-1,0.1088
so stupid,-1,0.1088
so tough,-1,0.1088
special interests,-1,0.1088
technological superiority,1,0.1088
terrible situation,-1,0.1088
terrible story,-1,0.1088
twisted part,-1,0.1088
unprecedented effort,-1,0.1088
very bad,-1,0.1088
very scary,-1,0.1088
worse shape,-1,0.1088
worst agreements,-1,0.1088
worst thing,-1,0.1088
35-percent tax,-1,0.1174
absolutely impossible,-1,0.1174
amazingly destructive,-1,0.1174
artificially low,-1,0.1174
big problem,-1,0.1174
big trouble,-1,0.1174
bigger problem,-1,0.1174
biggest bank,-1,0.1174
close allies,-1,0.1174
dangerous idea,-1,0.1174
dangerous time,-1,0.1174
difficult situation,-1,0.1174
expensive for,-1,0.1174
expensive trip,-1,0.1174
illegal executive,-1,0.1174
islamic terrorism,-1,0.1174
low growth,-1,0.1174
major problem,-1,0.1174
military force,-1,0.1174
more unstable,-1,0.1174
not big,-1,0.1174
not good,-1,0.1174
not great,-1,0.1174
not powerful,-1,0.1174
not smart,-1,0.1174
old enemies,-1,0.1174
outdated mission,-1,0.1174
overrated ones,-1,0.1174
real junk,-1,0.1174
third world,-1,0.1174
totalitarian communism,-1,0.1174
totally accountable,1,0.1174
tremendous barrier,-1,0.1174
very close,-1,0.1174
very dangerous,-1,0.1174
very difficult,-1,0.1174
very hard,-1,0.1174
very low,-1,0.1174
very upset,-1,0.1174
virtually useless,-1,0.1174
wasteful spending,-1,0.1174
weak on,-1,0.1174
wrong about,-1,0.1174
bad deal,-1,0.9268
disastrous deal,-1,0.9268
future struggles,-1,0.9268
global warming,-1,0.9268
horrible deal,-1,0.9268
human costs,-1,0.9268
industrial espionage,-1,0.9268
laughable deal,-1,0.9268
national security,1,0.9268
unjust enrichment,-1,0.9268
great job,1,1.0789
ultimate deterrent,1,1.0789
american jobs,1,2.3151
american lives,1,2.3151
american people,1,2.3151
american worker,1,2.3151
asian allies,1,2.3151
big accounting,1,2.3151
big banks,1,2.3151
big believers,1,2.3151
big buildings,1,2.3151
big car,1,2.3151
big chunk,1,2.3151
big league,1,2.3151
big tariff,1,2.3151
big vehicles,1,2.3151
biggest sponsor,1,2.3151
brand-new stuff,1,2.3151
cheapest investment,1,2.3151
clear-sighted about,1,2.3151
common challenges,1,2.3151
common ground,1,2.3151
demented minds,1,2.3151
failed policies,1,2.3151
first instinct,1,2.3151
first priority,1,2.3151
huge trade,1,2.3151
industrial-sized military,1,2.3151
long-term debt,1,2.3151
long-term plan,1,2.3151
massive military,1,2.3151
massive trade,1,2.3151
military interventions,1,2.3151
more money,1,2.3151
nation-building business,1,2.3151
new approaches,1,2.3151
new strategies,1,2.3151
new voices,1,2.3151
other allies,1,2.3151
our unbreakable,1,2.3151
promised land,1,2.3151
really big,1,2.3151
second amendment,1,2.3151
small potatoes,-1,2.3151
social program,1,2.3151
strongest military,1,2.3151
too big,1,2.3151
too much,1,2.3151
totally unbreakable,1,2.3151
tougher on,1,2.3151
true democracy,1,2.3151
true foundation,1,2.3151
two-way street,1,2.3151
very big,1,2.3151
very major,1,2.3151
wounded soldiers,1,2.3151
all-time bestselling,1,19.7155
american dream,1,19.7155
american interests,1,19.7155
american security,1,19.7155
clear lens,1,19.7155
clear signal,1,19.7155
common defense,1,19.7155
common sense,1,19.7155
even bigger,1,19.7155
eventual agreement,1,19.7155
fair share,1,19.7155
financial independence,1,19.7155
financial leverage,1,19.7155
free trade,1,19.7155
fresh look,1,19.7155
good company,1,19.7155
good news,1,19.7155
good ones,1,19.7155
good people,1,19.7155
good plan,1,19.7155
good stories,1,19.7155
good thing,1,19.7155
longstanding peace,1,19.7155
military capability,1,19.7155
modestly successful,1,19.7155
most loyal,1,19.7155
most peaceful,1,19.7155
most prosperous,1,19.7155
most reliable,1,19.7155
much wealth,1,19.7155
old friends,1,19.7155
open eyes,1,19.7155
positive reforms,1,19.7155
practical ideas,1,19.7155
prestigious history,1,19.7155
prosperous century,1,19.7155
really good,1,19.7155
really rich,1,19.7155
really successful,1,19.7155
regional stability,1,19.7155
right guy,1,19.7155
right people,1,19.7155
right predictions,1,19.7155
simple message,1,19.7155
simple questions,1,19.7155
so important,1,19.7155
so rich,1,19.7155
successful person,1,19.7155
their rich,1,19.7155
timeless principle,1,19.7155
true friend,1,19.7155
unbreakable friendship,1,19.7155
unique heritage,1,19.7155
very careful,1,19.7155
very diplomatic,1,19.7155
very good,1,19.7155
very valuable,1,19.7155
western values,1,19.7155
absolutely incredible,1,21.2715
always happy,1,21.2715
amazing job,1,21.2715
beat china,1,21.2715
best courses,1,21.2715
best equipment,1,21.2715
best equipment,1,21.2715
best hotel,1,21.2715
best minds,1,21.2715
best way,1,21.2715
better for,1,21.2715
better weapons,1,21.2715
biggest beneficiary,1,21.2715
brave americans,1,21.2715
brave sailors,1,21.2715
equally generous,1,21.2715
friendly regime,1,21.2715
generous offer,1,21.2715
gorgeous brand-new,1,21.2715
great cheerleader,1,21.2715
great country,1,21.2715
great family,1,21.2715
great hotels,1,21.2715
great leader,1,21.2715
great leadership,1,21.2715
great manufacturer,1,21.2715
great negotiator,1,21.2715
great people,1,21.2715
great power,1,21.2715
greatest assets,1,21.2715
greatest generation,1,21.2715
greatest honors,1,21.2715
greatest jobs,1,21.2715
greatest social,1,21.2715
greatest strength,1,21.2715
incredible airports,1,21.2715
incredible offer,1,21.2715
moral equivalency,1,21.2715
most incredible,1,21.2715
net worth,1,21.2715
new vision,1,21.2715
nice people,1,21.2715
nice reporter,1,21.2715
perfect resumes,1,21.2715
rational american,1,21.2715
really nice,1,21.2715
really proud,1,21.2715
smart america,1,21.2715
smart people,1,21.2715
smartest negotiators,1,21.2715
so nice,1,21.2715
sophisticated vehicles,1,21.2715
strategic ally,1,21.2715
talented experts,1,21.2715
terrific people,1,21.2715
too generous,1,21.2715
tremendous people,1,21.2715
very interesting,1,21.2715
very nice,1,21.2715
very persuasive,1,21.2715
very proud,1,21.2715
willing participants,1,21.2715
wonderful city,1,21.2715
wonderful family,1,21.2715
wonderful people,1,21.2715
clear understanding,1,37.1158
good deal,1,37.1158
loyal champion,1,37.1158
reliable friend,1,37.1158
strong defense,1,37.1158
universal values,1,37.1158
best care,1,38.6719
better friend,1,38.6719
better job,1,38.6719
economic might,1,38.6719
free world,1,38.6719
great deal,1,38.6719
great friend,1,38.6719
great honor,1,38.6719
great product,1,38.6719
great spirit,1,38.6719
great victory,1,38.6719
lifelong supporter,1,38.6719
moral clarity,1,38.6719
reliable ally,1,38.6719
tender love,1,38.6719
tremendous potential,1,38.6719
tremendous security,1,38.6719
truly successful,1,38.6719
great state,1,40.2279
great wall,1,40.2279
greatest defender,1,40.2279
truly great,1,40.2279
