id,category,statement,nchar,polarity
18,1,"And because African-Americanhomeownership has long been one of the surest ways to fund and build wealth, we'll match up to $10,000 in savings for a down payment.",178,0
63,2,"And I am aware that too many people feel at the mercy of forces too big for anyone to control,  and they just worry that those of us in politics put our own interests ahead of the national interest.",219,-1
47,2,And I don't think the federal government should be making money off of sending young people to college.,120,-1
53,2,And I particularly want to find ways to encourage young people to start small businesses. And minority owned and women-owned ,142,1
23,1,"And I think it's imperative that we have to stand up against the gun lobby and put forth a commonsense agenda that is supported  by the vast majority of Americans, including gun owners.",206,1
21,1,And I will use the White House bully pulpit to stand up for the basic proposition that the American labor movement helped to create the American middle class.,192,1
96,3,And I will work as hard as I can as your President to keep faith with them for police reform and demanding a criminal justice system that actually delivers justice.,181,1
1,1,And it's one of many reasons that being American has always been such a blessing.,98,1
48,2,"And like Flint, they tend to be places that are home to poor people and people of color.",122,-1
15,1,"And not to be outdone by his primary rival, Ted Cruz would treat Muslim Americans like criminals and religiously profile their neighborhoods.",158,-1
114,3,"And oh, by the way, we'll put a lot of people to work. As part of a major national infrastructure strategy,  let's protect health and safety by repairing not only what we can see but what we can't,  like the failing water systems, run-down public housing, and crumbling schools.",303,1
33,1,"And once we do, we are called to come together to break down all the barriers  that still hold African-Americans back from fully participating in our economy and our society  _ and together, to build ladders of opportunity and empowerment in their place. ",279,1
60,2,And our campaign is about restoring people's confidence in our ability to solve problems together by delivering results that help people follow their own dreams.,195,1
74,2,"And she is speaking for so many people across our country who feel beaten down, left out and left behind,  people who have worked hard and done their part, but just can't seem to get ahead, and find it tough even to get by.",261,-1
7,1,"And Ted Cruz, he's advocating that we have special police patrols patrolling neighborhoods where American Muslims live.",136,-1
68,2,"And then once we get the interest rates down, which has been outrageously high for student debt,  we're going to help people transfer into programs where you only have to pay your loan back as a percent of your income.",239,1
116,3,"And then the final test is, can we bring our country together? When I was your Senator,  I worked with everybody. Actually, probably sponsored legislation with practically every Republican I've worked with.  Joined forces with some of them on major legislation.",303,1
76,2,"And those people who are nervous, worried, fearful, even angry about their lives,  about what's happening in our country, I will do my very best to reach out to them to create an atmosphere,  an opportunity for them to feel that they, too, count, and they too will have a part of our American family.",325,1
49,2,And we Democrats agree on defending all of our rights civil rights and voting for people with disabilities.,124,1
22,1,"As I have said many times, white Americans need to do a much better job of listening when  African-Americans talk about the seen and unseen barriers you face every day.",205,0
110,3,"As your President, I'll work with you to lead a national effort for end-to-end reform  in our criminal justice system and I will appoint an Attorney General who will continue  the courageous work of Eric Holder and Loretta Lynch, two New Yorkers! ",289,0
77,2,"But despite what other candidates say, we believe in the goodness of our people  and the greatness of our nation. And if anyone doubts that, just let them travel across this country,  as I've done in this campaign the past year, hearing people's stories, learning about their struggles.",328,1
57,2,Can you deliver results and improve people's lives? Can you keep us safe? And can you bring the country together? I have been running this campaign now for a year.,180,0
92,3,I also want to work to ensure that every child has a good teacher in a good school no matter what ZIP code that child lives in.,144,1
24,1,"I know there are still too many barriers holding too many Americans back. But despite what other candidates say,  we believe in the goodness of our people and the greatness of our nation.",208,1
51,2,I read an article which said that we had young people serving in our military whose families were eligible for stamps.,135,-1
2,1,I will defend voting rights and work to end Citizens United.,110,1
99,3,"I will work to end Citizens United, which has corrupted the American. I will continue to work for comprehensive immigration reform with a path to citizenship.",192,1
90,3,"I will work to improve the rights of people with disabilities, because we need to help them become more self-sufficient.",137,1
52,2,"I will work to improve the rights of people with disabilities, because we need to help them become more self-sufficient.",137,1
59,2,"If we don't do more of it, if we don't fix our problems and give more people the belief that we are moving forward together, we will not recognize this country that we love.",190,1
3,1,"If we're going to ask African-Americansto vote for us, we can't take you or your vote for granted.",115,-1
91,3,"If you've got a mother, a wife, a sister, a daughter who is working, it's in everybody's interest that she's paid equally.",139,1
16,1,"It is our obligation and our challenge not to grow weary either until every American has the dignity, the justice, and the opportunity they deserve.",165,0
27,1,"Mass incarceration is just one part of a broader set of interlocking challenges, because years of underinvestment and neglect  have hollowed out many predominantly African-Americancommunities.",213,-1
95,3,"Or imagine a tomorrow where hard work is honored, families are supported, streets are safe and communities are strong, and where love trumps hate.",163,1
61,2,"Particularly at a time when anti-Semitism is on the rise across the world, especially in Europe, we must repudiate all efforts to malign,  isolate and undermine Israel and the Jewish people. ",212,-1
88,3,"People who have worked hard and done their part, but just can't seem to get ahead, and find it tough even to get by.",133,-1
111,3,"Reforming our criminal justice system, though, is just the beginning of our work. Over the course of my campaign, including in February at the Schomburg Center in Harlem,  I have been laying out a comprehensive agenda for equity and opportunity for black communities.",292,0
103,3,"So in this election, we will have to stand together and work hard to prevail against candidates on the other side  who would threaten all those rights and pit Americans against each other.",209,0
19,1,"So my friends, throughout this campaign, and then as President, I'm going to keep fighting to break down all the barriers holding back every American. My door will always be open to you.",186,1
65,2,So my plan devotes $20 billion specifically to help young people find work and $5 billion to help people  who have paid their debt to society find jobs and support when they get out of prison. ,231,1
69,2,"So when I think about delivering results, I think about solving problems, working with people at the local level  who are living with those problems, listening to people, coming up with goals and strategies.",245,0
46,2,That's forced thousands of people out of the neighborhoods where they lived for years.,103,-1
30,1,"That's why I want you to keep imagining a tomorrow where instead of building walls, we are breaking down barriers,  we are making it more likely that Americans will be part of a prosperous, inclusive, decent society.",237,1
38,1,"The decades since he put down his glove have brought remarkable progress: the rise of the black middle class,  the tremendous leadership of African Americans in all walks of life _ in business, in law,  to government, science, the arts, all the professions, and, of course, Barack and Michelle Obama in the White House.",344,1
6,1,"The kind of campaign that the other side is running, pitting Americans against one another, is just not who we are.",132,1
29,1,"There's something wrong, my friends, when the median wealth for black families is a tiny fraction of the median wealth for white families,  when African Americans are still more likely to be denied a mortgage.",230,-1
73,2,"They are standing up for criminal justice reform and they are standing up against the epidemic of gun violence  that takes on average, 90 people a day.  That is 33,000 people a year killed by guns in America, every year.",258,-1
14,1,"They would demonize and discriminate against hardworking, terror-hating Muslim Americans who we need in the fight against radicalization.",154,-1
108,3,"They would round up millions of hardworking immigrants and deport them. They would demonize and discriminate against hardworking, terror-hating  Muslim Americans who we need in the fight against radicalization.",252,-1
82,3,Think of the future we can build if we work together and don't grow weary doing good.,102,1
12,1,This is the real foundation of our alliance and I think it's why so many Americans feel such a deep emotional connection with Israel.,150,1
10,1,"Tonight, you'll hear from candidates with very different visions of American leadership in the region and around the world.",140,1
75,2,"We can lift up people and places who've been left out, from our inner cities to Appalachia,  in every manufacturing town hollowed out when the factory closed,  every community scarred by substance abuse, every home where a child goes to bed hungry.",273,1
4,1,"We Democrats agree that every single American should and must have quality, affordable health care.",116,1
