id,statement,nchar,polarity
2,"When Mexico sends its people, they're not sending their best.",61,-1
3,"They're sending people that have lots of problems, and they're bringing those problems with us.",95,-1
5,They're sending us not the right people. It's coming from more than Mexico.,75,-1
6,That's right. A lot of people up there can't get jobs.,54,-1
7,"And I thought it was horrible when it was broadcast on television, <br>because boy, does that send signals to Putin and all of the other people that look at us <br>and they say, ""That is a group of people, and that is a nation that truly has no clue.",250,-1
8,"Yesterday, it came out that costs are going for people up 29, 39, 49, <br>and even 55 percent, and deductibles are through the roof.",132,-1
11,"I watch the speeches of these people, and they say the sun will rise, the moon will set, <br>all sorts of wonderful things will happen. And people are saying, ""What's going on? I just want a job.",195,-1
13,"Because we have to stop doing things for some people, but for this country, it's destroying our country.",104,-1
15,We have tremendous people. We have people that aren't working. We have tremendous people.<br> We have people that aren't working. We have people that have no incentive to work.,176,-1
16,"We get a no-good traitor, and they get the five people that they wanted for years,<br> and those people are now back on the battlefield trying to kill us.",154,-1
18,"Free trade can be wonderful if you have smart people, but we have people that are stupid. <br>We have people that aren't smart. And we have people that are controlled by special interests.",188,-1
19,And it's impossible for our people here to compete.,51,-1
23,Do you really think that these people are interested in Yemen? Saudi Arabia without us is gone.,95,-1
24,"How are these people gonna lead us? How are we gonna, how are we gonna <br>go back and make it great again? We can't. They don't have a clue.",141,-1
27,"I think I'm actually a very nice person. But, I said, ""This is going to be an election<br> that's based on competence, because people are tired of these nice people.",165,-1
29,We have losers. We have people that don't have it. We have people that are morally corrupt.<br> We have people that are selling this country down the drain.,156,-1
30,"Through stupidity, in a very, very hard core prison, interestingly named Clinton, <br>two vicious murderers, two vicious people escaped, and nobody knows where they are.",169,-1
36,I am the only person running for the Presidency who understands this problem and knows how to fix it.,101,-1
4,"And some, I assume, are good people. But I speak to border guards and they tell us what we're getting.",102,1
9,"I have so many Web sites, I have them all over the place. I hire people, they do a Web site.",92,1
10,And they're wonderful people. I like them.,42,1
14,"You know, all of my life, I've heard that a truly successful person, <br>a really, really successful person and even modestly successful cannot run for public office.",166,1
20,"I love China. People say, ""Oh, you don't like China?"" No, I love them.",70,1
25,"I think I am a nice person. People that know me, like me.<br> I think I am a nice person. People that know me, like me.",119,1
26,"I said, ""I think that number one, I am a nice person. <br> I give a lot of money away to charities and other things.",116,1
31,"We got it. People were shocked, Trump got it.",45,1
32,"Because the General Services, who are terrific people, by the way,<br> and talented people, they wanted to do a great job.",122,1
34,"Do you want to hear something really shocking?<br> As many of the great people in this room know, painted on those missiles in both Hebrew and Farsi <br>were the words Israel must be wiped off the face of the earth.",215,1
